User ID : 115858366 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895180054325600256, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/4WhsMnUYvm
User ID : 402652971 , Lattitute : 35.77266623, Longitute : 140.38762734, Tweet Number : 895178911046410241, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/Qpofp9Pe83
User ID : 3123358392 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895178791630360578, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/SD3I9YWd6i
User ID : 634541985 , Lattitute : 36.64333753, Longitute : 137.18960124, Tweet Number : 895177232980877314, Tweet Status : I'm at 富山きときと空港 in 富山市, 富山県 https://t.co/N2ovaQWlHm
User ID : 66358879 , Lattitute : 34.43580571, Longitute : 135.24369478, Tweet Number : 895175504206204928, Tweet Status : I'm at 南海 関西空港駅 in 泉佐野市, 大阪府 https://t.co/V9It3rkUgO
User ID : 48982634 , Lattitute : 35.68136688, Longitute : 139.76761153, Tweet Number : 895172563835506688, Tweet Status : I'm at 東京駅 新幹線ホーム in 千代田区, 東京都 https://t.co/ADHNBVmGOa
User ID : 107655719 , Lattitute : 38.81721394, Longitute : 139.78945331, Tweet Number : 895172266434191361, Tweet Status : I'm at 庄内空港緩衝緑地公園 in 酒田市, 山形県 https://t.co/RceEAi1wHX
User ID : 522173153 , Lattitute : 35.77266623, Longitute : 140.38762734, Tweet Number : 895171931460206593, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 w/ @trta_01_1 https://t.co/CalBLmztT9
User ID : 560243581 , Lattitute : 35.77266623, Longitute : 140.38762734, Tweet Number : 895171519881646087, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/m7J3rCSd9v
User ID : 544419822 , Lattitute : 35.780642, Longitute : 140.387084, Tweet Number : 895167854802341888, Tweet Status : I'm at 成田国際空港 B滑走路 in 成田市, 千葉県 https://t.co/sdELIcPCKW
User ID : 266872291 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895167296167182336, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/tolQqjnE4N
User ID : 1159636806 , Lattitute : 34.85944729, Longitute : 136.81485788, Tweet Number : 895166882923376640, Tweet Status : I'm at 中部国際空港 セントレア - @centrairairport in 常滑市, 愛知県 https://t.co/86rcjrDcpM
User ID : 623726893 , Lattitute : 35.17010457, Longitute : 136.88130943, Tweet Number : 895165858259095559, Tweet Status : I'm at 名古屋駅 新幹線ホーム in 名古屋市, 愛知県 https://t.co/4iZTy8HqDB
User ID : 2292559472 , Lattitute : 35.9059803, Longitute : 139.6231842, Tweet Number : 895164535073538048, Tweet Status : I'm at JR 大宮駅 新幹線ホーム - @jreast_official in さいたま市, 埼玉県 https://t.co/wYre8fu1Rn
User ID : 316389051 , Lattitute : 34.971641, Longitute : 138.38938951, Tweet Number : 895162651927511042, Tweet Status : I'm at Starbucks Coffee 静岡駅 新幹線ラチ内店 - @starbucks_j in 静岡市, 静岡県 https://t.co/rUKthGuNTo
User ID : 393809678 , Lattitute : 35.9059803, Longitute : 139.6231842, Tweet Number : 895161986669056007, Tweet Status : I'm at JR 大宮駅 新幹線ホーム - @jreast_official in さいたま市, 埼玉県 https://t.co/bOz5fo1joY
User ID : 123285506 , Lattitute : 34.79026234, Longitute : 135.44263673, Tweet Number : 895161494572339200, Tweet Status : I'm at at cafe 大阪空港店 in 豊中市, 大阪府 https://t.co/s3Uw7PbCmu https://t.co/ECsrwjTwhX
User ID : 724246685266800645 , Lattitute : 35.253658, Longitute : 136.92029, Tweet Number : 895160409199702017, Tweet Status : I'm at 県営名古屋空港 展望デッキ in 西春日井郡豊山町, 愛知県 https://t.co/boNzrCbTrr https://t.co/FzbS66jc8S
User ID : 65103675 , Lattitute : 36.32256813, Longitute : 139.01304066, Tweet Number : 895157037377761280, Tweet Status : I'm at 上越・北陸新幹線 高崎駅 - @jreast_official in 高崎市, 群馬県 https://t.co/9KsUuWFCuf
User ID : 367115190 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 895157035704233984, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/OnR0Y5sewh https://t.co/KXA9j4Zcmi
User ID : 703179930 , Lattitute : 36.401695, Longitute : 136.41321, Tweet Number : 895155504921665538, Tweet Status : I'm at 小松空港 in 小松市, 石川県 https://t.co/LrzQtHdE7f
User ID : 558614951 , Lattitute : 34.63677065, Longitute : 135.22864308, Tweet Number : 895154619587932160, Tweet Status : I'm at 神戸空港 in Kobe, 兵庫県 https://t.co/8YZhgp4mUb
