User ID : 5208841 , Lattitute : 1.35630939, Longitute : 103.98872103, Tweet Number : 872309035537768448, User Location : sendai miyagi, japan, Tweet Status : I'm at シンガポール・チャンギ国際空港 - @changiairport in Singapore https://t.co/BLwIJ3V2Ea
User ID : 79522854 , Lattitute : 25.08096012, Longitute : 121.23681205, Tweet Number : 872308337173569538, User Location : TOKYO GIRL, Tweet Status : I'm at 台湾桃園国際空港 in 桃園縣, 臺灣 https://t.co/jEpZjp4V7I
User ID : 241948222 , Lattitute : 40.73835623, Longitute : 140.68919944, Tweet Number : 872304808031596544, User Location : 暗黒魔界, Tweet Status : I'm at 青森空港 in 青森市, 青森県 https://t.co/EqKc7jQ2dD
User ID : 120289115 , Lattitute : 25.08096012, Longitute : 121.23681205, Tweet Number : 872302025362558976, User Location : 岐阜市・南砺市, Tweet Status : I'm at 台湾桃園国際空港 in 桃園縣, 臺灣 https://t.co/3wbtWCxK5R
User ID : 103524114 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872300140538867712, User Location : 熊本県, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/x5GKDeq2uz
User ID : 16412925 , Lattitute : 35.77284377, Longitute : 140.38731466, Tweet Number : 872299052867702784, User Location : 大阪府岸和田市, Tweet Status : I'm at 成田国際空港 in 成田市, 千葉県 https://t.co/0fJMNCAj8v
User ID : 83975802 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872297993646505984, User Location : 彩の国さいたま, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/gcW8FHXlzO
User ID : 169905976 , Lattitute : 28.43105534, Longitute : -81.30753065, Tweet Number : 872295555111804928, User Location : 東京都 府中市, Tweet Status : I'm at オーランド国際空港 - @mco in Orlando, FL https://t.co/zV8cxOh6br
User ID : 330411948 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872293407980441601, User Location : (株)765プロダクション, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/CxJooBaxO0
User ID : 587970515 , Lattitute : 32.79014271, Longitute : 130.68840265, Tweet Number : 872293186919694341, User Location : ひなたまこっこ, Tweet Status : I'm at 九州新幹線 熊本駅 in 熊本市, 熊本県 https://t.co/9FMHCRApas
User ID : 92743756 , Lattitute : 34.6999013, Longitute : 135.49670219, Tweet Number : 872290953477935105, User Location : みなとみらい, Tweet Status : I'm at 大阪マルビル 空港バスのりば in 大阪市, 大阪府 https://t.co/QKlgeefZW3
User ID : 2418785600 , Lattitute : 35.54466731, Longitute : 139.76890944, Tweet Number : 872288871450542081, User Location : 名古屋方面に弱い傾向, Tweet Status : I'm at せたが屋 羽田国際空港店 in Ōta, 東京都 https://t.co/7HeHPbuvX3
User ID : 59419052 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872286833090146304, User Location : 札幌市, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/0va0UcJkFI
User ID : 574922998 , Lattitute : 37.44922056, Longitute : 126.45136024, Tweet Number : 872285956015091717, User Location : 日本  関西  (일본 간사이 지방), Tweet Status : I'm at 仁川国際空港 - @incheonairport1 in 인천광역시 https://t.co/XunCnIvQh7
User ID : 569102761 , Lattitute : 35.54843152, Longitute : 139.78040725, Tweet Number : 872285163312607232, User Location : 千葉 千葉市, Tweet Status : I'm at 東京国際空港 / 羽田空港 in 大田区, 東京都 https://t.co/hrv26yxW9y
User ID : 570052893 , Lattitute : 34.75995563, Longitute : 133.85299891, Tweet Number : 872284113188925441, User Location : Mimasaka, Tweet Status : I'm at 岡山空港 in 岡山市, 岡山県 https://t.co/5NTHy9Jtbx
User ID : 109423388 , Lattitute : 22.31521307, Longitute : 113.93417958, Tweet Number : 872282893283979265, User Location : 円環で魔法少女服作り, Tweet Status : I'm at 香港国際空港 - @hkairport in Islands District, Hong Kong https://t.co/7NNhuCKLVY
User ID : 133536193 , Lattitute : 31.80122976, Longitute : 130.71588422, Tweet Number : 872282159654023168, User Location : 東京都/千葉県, Tweet Status : I'm at 鹿児島空港 in 霧島市, 鹿児島県 https://t.co/Xqhh2W5UMR
